id,name,description,tickSize,tickValue,activeContract,symbolId
CON.F.US.ENQ.Z25,NQZ5,E-mini NASDAQ-100: December 2025,0.25,5.0,True,F.US.ENQ
CON.F.US.EP.Z25,ESZ5,E-Mini S&P 500: December 2025,0.25,12.5,True,F.US.EP
CON.F.US.M2K.Z25,M2KZ5,Micro E-mini Russell 2000: December 2025,0.1,0.5,True,F.US.M2K
CON.F.US.YM.Z25,YMZ5,E-mini Dow ($5): December 2025,1.0,5.0,True,F.US.YM
CON.F.US.RTY.Z25,RTYZ5,E-mini Russell 2000: December 2025,0.1,5.0,True,F.US.RTY
CON.F.US.NKD.Z25,NKDZ5,Nikkei 225 (Globex): December 2025,5.0,25.0,True,F.US.NKD
CON.F.US.MES.Z25,MESZ5,Micro E-mini S&P 500: December 2025,0.25,1.25,True,F.US.MES
CON.F.US.MNQ.Z25,MNQZ5,Micro E-mini Nasdaq-100: December 2025,0.25,0.5,True,F.US.MNQ
CON.F.US.MYM.Z25,MYMZ5,Micro E-mini Dow $0.50: December 2025,1.0,0.5,True,F.US.MYM
