time,open,high,low,close,volume,hl_range,chaikin_vol,roc
2025-11-03T01:19:57+00:00,4002.8,4003.0,4002.8,4003.0,35,0.1999999999998181,,
2025-11-03T01:20:00+00:00,4002.9,4002.9,4001.3,4001.5,33,1.599999999999909,,
2025-11-03T01:20:03+00:00,4001.5,4001.8,4001.4,4001.6,6,0.40000000000009095,,
2025-11-03T01:20:09+00:00,4001.4,4001.8,4001.4,4001.8,7,0.40000000000009095,,
2025-11-03T01:20:12+00:00,4001.8,4001.8,4001.6,4001.6,6,0.20000000000027285,,
2025-11-03T01:20:15+00:00,4001.9,4001.9,4001.4,4001.5,5,0.5,,
2025-11-03T01:20:21+00:00,4001.2,4001.3,4001.2,4001.3,3,0.1000000000003638,,
2025-11-03T01:20:24+00:00,4001.3,4001.4,4000.5,4000.5,20,0.900000000000091,,
2025-11-03T01:20:27+00:00,4000.4,4000.9,4000.2,4000.9,12,0.7000000000002728,,
2025-11-03T01:20:30+00:00,4000.5,4000.5,4000.4,4000.5,8,0.09999999999990905,,
2025-11-03T01:20:33+00:00,4000.8,4000.8,4000.5,4000.8,7,0.3000000000001819,,-0.05495878091430972
2025-11-03T01:20:36+00:00,4000.6,4000.9,4000.6,4000.8,15,0.3000000000001819,,-0.01749343996001045
2025-11-03T01:20:39+00:00,4000.5,4000.5,4000.5,4000.5,1,0.0,,-0.027489004398238433
2025-11-03T01:20:42+00:00,4000.9,4001.2,4000.8,4001.2,13,0.3999999999996362,,-0.01499325303614283
2025-11-03T01:20:45+00:00,4000.6,4000.7,4000.5,4000.7,13,0.1999999999998181,,-0.02249100359856285
2025-11-03T01:20:48+00:00,4000.8,4000.8,4000.8,4000.8,1,0.0,,-0.01749343996001045
2025-11-03T01:20:51+00:00,4001.1,4001.6,4001.1,4001.5,14,0.5,,0.004998375527948869
2025-11-03T01:20:54+00:00,4001.8,4001.9,4001.8,4001.9,3,0.09999999999990905,,0.03499562554680893
2025-11-03T01:20:57+00:00,4001.8,4002.2,4001.4,4001.4,8,0.7999999999997272,,0.012497188132670149
2025-11-03T01:21:00+00:00,4001.5,4002.0,4001.4,4001.7,10,0.599999999999909,,0.029996250468686866
2025-11-03T01:21:03+00:00,4001.9,4001.9,4001.7,4001.9,3,0.20000000000027285,,0.027494501099777767
2025-11-03T01:21:06+00:00,4001.6,4001.6,4001.3,4001.6,7,0.29999999999972715,-17.123453901793074,0.01999600079983321
2025-11-03T01:21:09+00:00,4001.9,4001.9,4001.9,4001.9,1,0.0,-28.31921638225542,0.03499562554680893
2025-11-03T01:21:12+00:00,4001.5,4001.5,4001.5,4001.5,2,0.0,-38.47721592237258,0.007497750674802107
2025-11-03T01:21:15+00:00,4001.7,4001.7,4001.3,4001.3,12,0.3999999999996362,-15.383471416744587,0.014997375459303717
2025-11-03T01:21:18+00:00,4000.8,4001.2,4000.8,4001.2,4,0.3999999999996362,-11.997183785237201,0.009998000399910922
2025-11-03T01:21:21+00:00,4001.3,4001.3,4001.3,4001.3,1,0.0,-22.431734533910948,-0.004998125702856881
