time,open,high,low,close,volume,hl_range,chaikin_vol,roc
2025-11-03T00:38:48+00:00,61.32,61.32,61.32,61.32,3,0.0,,
2025-11-03T00:39:03+00:00,61.32,61.32,61.32,61.32,2,0.0,,
2025-11-03T00:39:09+00:00,61.33,61.33,61.33,61.33,2,0.0,,
2025-11-03T00:40:03+00:00,61.33,61.33,61.33,61.33,1,0.0,,
2025-11-03T00:40:06+00:00,61.33,61.33,61.33,61.33,2,0.0,,
2025-11-03T00:40:54+00:00,61.33,61.33,61.33,61.33,1,0.0,,
2025-11-03T00:41:33+00:00,61.32,61.33,61.32,61.33,5,0.00999999999999801,,
2025-11-03T00:41:36+00:00,61.33,61.33,61.33,61.33,2,0.0,,
2025-11-03T00:42:27+00:00,61.32,61.32,61.32,61.32,3,0.0,,
2025-11-03T00:43:00+00:00,61.32,61.32,61.32,61.32,1,0.0,,
2025-11-03T00:43:09+00:00,61.32,61.32,61.32,61.32,1,0.0,,0.0
2025-11-03T00:43:12+00:00,61.32,61.32,61.32,61.32,2,0.0,,0.0
2025-11-03T00:43:15+00:00,61.32,61.33,61.32,61.33,5,0.00999999999999801,,0.0
2025-11-03T00:43:39+00:00,61.33,61.33,61.33,61.33,8,0.0,,0.0
2025-11-03T00:43:45+00:00,61.32,61.32,61.32,61.32,6,0.0,,-0.01630523398010437
2025-11-03T00:43:51+00:00,61.33,61.33,61.33,61.33,4,0.0,,0.0
2025-11-03T00:43:54+00:00,61.33,61.34,61.33,61.33,5,0.010000000000005116,,0.0
2025-11-03T00:43:57+00:00,61.33,61.33,61.33,61.33,2,0.0,,0.0
2025-11-03T00:44:03+00:00,61.32,61.32,61.32,61.32,5,0.0,,0.0
2025-11-03T00:44:06+00:00,61.33,61.33,61.33,61.33,1,0.0,,0.016307893020218543
2025-11-03T00:44:21+00:00,61.33,61.33,61.33,61.33,2,0.0,,0.016307893020218543
2025-11-03T00:45:00+00:00,61.33,61.33,61.32,61.33,7,0.00999999999999801,188.5185583334667,0.016307893020218543
2025-11-03T00:45:09+00:00,61.34,61.34,61.32,61.32,4,0.020000000000003126,634.8224754194356,-0.01630523398010437
2025-11-03T00:45:18+00:00,61.33,61.33,61.33,61.33,1,0.0,634.8224754194356,0.0
2025-11-03T00:45:21+00:00,61.33,61.33,61.33,61.33,2,0.0,69.5677169014096,0.016307893020218543
2025-11-03T00:45:36+00:00,61.32,61.32,61.32,61.32,2,0.0,69.5677169014096,-0.01630523398010437
2025-11-03T00:45:39+00:00,61.33,61.33,61.33,61.33,2,0.0,69.56771690140958,0.0
2025-11-03T00:45:48+00:00,61.33,61.33,61.33,61.33,3,0.0,69.56771690140955,0.0
2025-11-03T00:46:18+00:00,61.32,61.32,61.32,61.32,4,0.0,-37.580303471787005,0.0
2025-11-03T00:46:30+00:00,61.33,61.33,61.33,61.33,1,0.0,-37.580303471787005,0.0
2025-11-03T00:46:54+00:00,61.33,61.33,61.33,61.33,3,0.0,-37.580303471787005,0.0
